CÓDIGO DO MUNICÍPIO - TOM,CÓDIGO DO MUNICÍPIO - IBGE,MUNICÍPIO - TOM,MUNICÍPIO - IBGE,UF,ESTADO
105,1200104,BRASILÉIA,Brasiléia,AC,Acre
107,1200203,CRUZEIRO DO SUL,Cruzeiro do Sul,AC,Acre
109,1200336,MÂNCIO LIMA,Mâncio Lima,AC,Acre
113,1200302,FEIJÓ,Feijó,AC,Acre
139,1200401,RIO BRANCO,Rio Branco,AC,Acre
145,1200500,SENA MADUREIRA,Sena Madureira,AC,Acre
147,1200609,TARAUACÁ,Tarauacá,AC,Acre
149,1200708,XAPURI,Xapuri,AC,Acre
151,1200385,PLÁCIDO DE CASTRO,Plácido de Castro,AC,Acre
153,1200450,SENADOR GUIOMARD,Senador Guiomard,AC,Acre
155,1200344,MANOEL URBANO,Manoel Urbano,AC,Acre
157,1200054,ASSIS BRASIL,Assis Brasil,AC,Acre
643,1200013,ACRELÂNDIA,Acrelândia,AC,Acre
645,1200138,BUJARI,Bujari,AC,Acre
647,1200179,CAPIXABA,Capixaba,AC,Acre
649,1200807,PORTO ACRE,Porto Acre,AC,Acre
651,1200252,EPITACIOLÂNDIA,Epitaciolândia,AC,Acre
653,1200328,JORDÃO,Jordão,AC,Acre
655,1200351,MARECHAL THAUMATURGO,Marechal Thaumaturgo,AC,Acre
657,1200393,PORTO WALTER,Porto Walter,AC,Acre
659,1200427,RODRIGUES ALVES,Rodrigues Alves,AC,Acre
661,1200435,SANTA ROSA DO PURUS,Santa Rosa do Purus,AC,Acre
560,2701357,CAMPESTRE,Campestre,AL,Alagoas
562,2703759,JEQUIÁ DA PRAIA,Jequiá da Praia,AL,Alagoas
971,2709152,TEOTÔNIO VILELA,Teotônio Vilela,AL,Alagoas
2641,2706448,PARIPUEIRA,Paripueira,AL,Alagoas
2643,2702553,ESTRELA DE ALAGOAS,Estrela de Alagoas,AL,Alagoas
2645,2706422,PARICONHA,Pariconha,AL,Alagoas
2701,2700102,ÁGUA BRANCA,Água Branca,AL,Alagoas
2703,2700201,ANADIA,Anadia,AL,Alagoas
2705,2700300,ARAPIRACA,Arapiraca,AL,Alagoas
2707,2700409,ATALAIA,Atalaia,AL,Alagoas
2709,2700508,BARRA DE SANTO ANTÔNIO,Barra de Santo Antônio,AL,Alagoas
2711,2700607,BARRA DE SÃO MIGUEL,Barra de São Miguel,AL,Alagoas
2713,2700706,BATALHA,Batalha,AL,Alagoas
2715,2700805,BELÉM,Belém,AL,Alagoas
2717,2700904,BELO MONTE,Belo Monte,AL,Alagoas
2719,2701001,BOCA DA MATA,Boca da Mata,AL,Alagoas
2721,2701100,BRANQUINHA,Branquinha,AL,Alagoas
2723,2701209,CACIMBINHAS,Cacimbinhas,AL,Alagoas
2725,2701308,CAJUEIRO,Cajueiro,AL,Alagoas
2727,2701407,CAMPO ALEGRE,Campo Alegre,AL,Alagoas
2729,2701506,CAMPO GRANDE,Campo Grande,AL,Alagoas
2731,2701605,CANAPI,Canapi,AL,Alagoas
2733,2701704,CAPELA,Capela,AL,Alagoas
2735,2701803,CARNEIROS,Carneiros,AL,Alagoas
2737,2701902,CHÃ PRETA,Chã Preta,AL,Alagoas
2739,2702009,COITÉ DO NÓIA,Coité do Nóia,AL,Alagoas
2741,2702108,COLÔNIA LEOPOLDINA,Colônia Leopoldina,AL,Alagoas
2743,2702207,COQUEIRO SECO,Coqueiro Seco,AL,Alagoas
2745,2702306,CORURIPE,Coruripe,AL,Alagoas
2747,2702405,DELMIRO GOUVEIA,Delmiro Gouveia,AL,Alagoas
2749,2702504,DOIS RIACHOS,Dois Riachos,AL,Alagoas
2751,2702603,FEIRA GRANDE,Feira Grande,AL,Alagoas
2753,2702702,FELIZ DESERTO,Feliz Deserto,AL,Alagoas
2755,2702801,FLEXEIRAS,Flexeiras,AL,Alagoas
2757,2702900,GIRAU DO PONCIANO,Girau do Ponciano,AL,Alagoas
2759,2703007,IBATEGUARA,Ibateguara,AL,Alagoas
2761,2703106,IGACI,Igaci,AL,Alagoas
2763,2703205,IGREJA NOVA,Igreja Nova,AL,Alagoas
2765,2703304,INHAPI,Inhapi,AL,Alagoas
2767,2703403,JACARÉ DOS HOMENS,Jacaré dos Homens,AL,Alagoas
2769,2703502,JACUÍPE,Jacuípe,AL,Alagoas
2771,2703601,JAPARATINGA,Japaratinga,AL,Alagoas
2773,2703700,JARAMATAIA,Jaramataia,AL,Alagoas
2775,2703809,JOAQUIM GOMES,Joaquim Gomes,AL,Alagoas
2777,2703908,JUNDIÁ,Jundiá,AL,Alagoas
2779,2704005,JUNQUEIRO,Junqueiro,AL,Alagoas
2781,2704104,LAGOA DA CANOA,Lagoa da Canoa,AL,Alagoas
2783,2704203,LIMOEIRO DE ANADIA,Limoeiro de Anadia,AL,Alagoas
2785,2704302,MACEIÓ,Maceió,AL,Alagoas
2787,2704401,MAJOR ISIDORO,Major Isidoro,AL,Alagoas
2789,2704500,MARAGOGI,Maragogi,AL,Alagoas
2791,2704609,MARAVILHA,Maravilha,AL,Alagoas
2793,2704708,MARECHAL DEODORO,Marechal Deodoro,AL,Alagoas
2795,2704807,MARIBONDO,Maribondo,AL,Alagoas
2797,2704906,MAR VERMELHO,Mar Vermelho,AL,Alagoas
2799,2705002,MATA GRANDE,Mata Grande,AL,Alagoas
2801,2705101,MATRIZ DE CAMARAGIBE,Matriz de Camaragibe,AL,Alagoas
2803,2705200,MESSIAS,Messias,AL,Alagoas
2805,2705309,MINADOR DO NEGRÃO,Minador do Negrão,AL,Alagoas
2807,2705408,MONTEIRÓPOLIS,Monteirópolis,AL,Alagoas
2809,2705507,MURICI,Murici,AL,Alagoas
2811,2705606,NOVO LINO,Novo Lino,AL,Alagoas
2813,2705705,OLHO D'ÁGUA DAS FLORES,Olho d'Água das Flores,AL,Alagoas
2815,2705804,OLHO D'ÁGUA DO CASADO,Olho d'Água do Casado,AL,Alagoas
2817,2705903,OLHO D'ÁGUA GRANDE,Olho d'Água Grande,AL,Alagoas
2819,2706000,OLIVENÇA,Olivença,AL,Alagoas
2821,2706109,OURO BRANCO,Ouro Branco,AL,Alagoas
2823,2706208,PALESTINA,Palestina,AL,Alagoas
2825,2706307,PALMEIRA DOS ÍNDIOS,Palmeira dos Índios,AL,Alagoas
2827,2706406,PÃO DE AÇÚCAR,Pão de Açúcar,AL,Alagoas
2829,2706505,PASSO DE CAMARAGIBE,Passo de Camaragibe,AL,Alagoas
2831,2706604,PAULO JACINTO,Paulo Jacinto,AL,Alagoas
2833,2706703,PENEDO,Penedo,AL,Alagoas
2835,2706802,PIAÇABUÇU,Piaçabuçu,AL,Alagoas
2837,2706901,PILAR,Pilar,AL,Alagoas
2839,2707008,PINDOBA,Pindoba,AL,Alagoas
2841,2707107,PIRANHAS,Piranhas,AL,Alagoas
2843,2707206,POÇO DAS TRINCHEIRAS,Poço das Trincheiras,AL,Alagoas
2845,2707305,PORTO CALVO,Porto Calvo,AL,Alagoas
2847,2707404,PORTO DE PEDRAS,Porto de Pedras,AL,Alagoas
2849,2707503,PORTO REAL DO COLÉGIO,Porto Real do Colégio,AL,Alagoas
2851,2707602,QUEBRANGULO,Quebrangulo,AL,Alagoas
2853,2707701,RIO LARGO,Rio Largo,AL,Alagoas
2855,2707800,ROTEIRO,Roteiro,AL,Alagoas
2857,2707909,SANTA LUZIA DO NORTE,Santa Luzia do Norte,AL,Alagoas
2859,2708006,SANTANA DO IPANEMA,Santana do Ipanema,AL,Alagoas
2861,2708105,SANTANA DO MUNDAÚ,Santana do Mundaú,AL,Alagoas
2863,2708204,SÃO BRÁS,São Brás,AL,Alagoas
2865,2708303,SÃO JOSÉ DA LAJE,São José da Laje,AL,Alagoas
2867,2708402,SÃO JOSÉ DA TAPERA,São José da Tapera,AL,Alagoas
2869,2708501,SÃO LUÍS DO QUITUNDE,São Luís do Quitunde,AL,Alagoas
2871,2708600,SÃO MIGUEL DOS CAMPOS,São Miguel dos Campos,AL,Alagoas
2873,2708709,SÃO MIGUEL DOS MILAGRES,São Miguel dos Milagres,AL,Alagoas
2875,2708808,SÃO SEBASTIÃO,São Sebastião,AL,Alagoas
2877,2708907,SATUBA,Satuba,AL,Alagoas
2879,2709004,TANQUE D'ARCA,Tanque d'Arca,AL,Alagoas
2881,2709103,TAQUARANA,Taquarana,AL,Alagoas
2883,2709202,TRAIPU,Traipu,AL,Alagoas
2885,2709301,UNIÃO DOS PALMARES,União dos Palmares,AL,Alagoas
2887,2709400,VIÇOSA,Viçosa,AL,Alagoas
2889,2702355,CRAÍBAS,Craíbas,AL,Alagoas
2891,2708956,SENADOR RUI PALMEIRA,Senador Rui Palmeira,AL,Alagoas
201,1303205,NOVO AIRÃO,Novo Airão,AM,Amazonas
203,1300102,ANORI,Anori,AM,Amazonas
205,1300201,ATALAIA DO NORTE,Atalaia do Norte,AM,Amazonas
207,1300300,AUTAZES,Autazes,AM,Amazonas
209,1300409,BARCELOS,Barcelos,AM,Amazonas
211,1300508,BARREIRINHA,Barreirinha,AM,Amazonas
213,1300607,BENJAMIN CONSTANT,Benjamin Constant,AM,Amazonas
215,1300706,BOCA DO ACRE,Boca do Acre,AM,Amazonas
217,1300805,BORBA,Borba,AM,Amazonas
219,1300904,CANUTAMA,Canutama,AM,Amazonas
221,1301001,CARAUARI,Carauari,AM,Amazonas
223,1301100,CAREIRO,Careiro,AM,Amazonas
225,1301209,COARI,Coari,AM,Amazonas
227,1301308,CODAJÁS,Codajás,AM,Amazonas
229,1301407,EIRUNEPÉ,Eirunepé,AM,Amazonas
231,1301506,ENVIRA,Envira,AM,Amazonas
233,1301605,FONTE BOA,Fonte Boa,AM,Amazonas
235,1301704,HUMAITÁ,Humaitá,AM,Amazonas
237,1303601,SANTA ISABEL DO RIO NEGRO,Santa Isabel do Rio Negro,AM,Amazonas
239,1301803,IPIXUNA,Ipixuna,AM,Amazonas
241,1301902,ITACOATIARA,Itacoatiara,AM,Amazonas
243,1302009,ITAPIRANGA,Itapiranga,AM,Amazonas
245,1302108,JAPURÁ,Japurá,AM,Amazonas
247,1302207,JURUÁ,Juruá,AM,Amazonas
249,1302306,JUTAÍ,Jutaí,AM,Amazonas
251,1302405,LÁBREA,Lábrea,AM,Amazonas
253,1302504,MANACAPURU,Manacapuru,AM,Amazonas
255,1302603,MANAUS,Manaus,AM,Amazonas
257,1302702,MANICORÉ,Manicoré,AM,Amazonas
259,1302801,MARAÃ,Maraã,AM,Amazonas
261,1302900,MAUÉS,Maués,AM,Amazonas
263,1303007,NHAMUNDÁ,Nhamundá,AM,Amazonas
265,1303106,NOVA OLINDA DO NORTE,Nova Olinda do Norte,AM,Amazonas
267,1303304,NOVO ARIPUANÃ,Novo Aripuanã,AM,Amazonas
269,1303403,PARINTINS,Parintins,AM,Amazonas
271,1303502,PAUINI,Pauini,AM,Amazonas
273,1303700,SANTO ANTÔNIO DO IÇÁ,Santo Antônio do Içá,AM,Amazonas
275,1303908,SÃO PAULO DE OLIVENÇA,São Paulo de Olivença,AM,Amazonas
277,1304005,SILVES,Silves,AM,Amazonas
279,1304104,TAPAUÁ,Tapauá,AM,Amazonas
281,1304203,TEFÉ,Tefé,AM,Amazonas
283,1303809,SÃO GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira,AM,Amazonas
285,1304302,URUCARÁ,Urucará,AM,Amazonas
287,1304401,URUCURITUBA,Urucurituba,AM,Amazonas
289,1300029,ALVARÃES,Alvarães,AM,Amazonas
291,1300060,AMATURÁ,Amaturá,AM,Amazonas
293,1300086,ANAMÃ,Anamã,AM,Amazonas
295,1300631,BERURI,Beruri,AM,Amazonas
297,1300680,BOA VISTA DO RAMOS,Boa Vista do Ramos,AM,Amazonas
299,1300839,CAAPIRANGA,Caapiranga,AM,Amazonas
965,1301159,CAREIRO DA VÁRZEA,Careiro da Várzea,AM,Amazonas
967,1301654,GUAJARÁ,Guajará,AM,Amazonas
969,1300144,APUÍ,Apuí,AM,Amazonas
9835,1301852,IRANDUBA,Iranduba,AM,Amazonas
9837,1301951,ITAMARATI,Itamarati,AM,Amazonas
9839,1302553,MANAQUIRI,Manaquiri,AM,Amazonas
9841,1303536,PRESIDENTE FIGUEIREDO,Presidente Figueiredo,AM,Amazonas
9843,1303569,RIO PRETO DA EVA,Rio Preto da Eva,AM,Amazonas
9845,1303957,SÃO SEBASTIÃO DO UATUMÃ,São Sebastião do Uatumã,AM,Amazonas
9847,1304062,TABATINGA,Tabatinga,AM,Amazonas
9849,1304260,UARINI,Uarini,AM,Amazonas
9851,1304237,TONANTINS,Tonantins,AM,Amazonas
70,1600808,VITÓRIA DO JARI,Vitória do Jari,AP,Amapá
601,1600105,AMAPÁ,Amapá,AP,Amapá
603,1600204,CALÇOENE,Calçoene,AP,Amapá
605,1600303,MACAPÁ,Macapá,AP,Amapá
607,1600402,MAZAGÃO,Mazagão,AP,Amapá
609,1600501,OIAPOQUE,Oiapoque,AP,Amapá
611,1600238,FERREIRA GOMES,Ferreira Gomes,AP,Amapá
613,1600279,LARANJAL DO JARI,Laranjal do Jari,AP,Amapá
615,1600600,SANTANA,Santana,AP,Amapá
617,1600709,TARTARUGALZINHO,Tartarugalzinho,AP,Amapá
663,1600154,PEDRA BRANCA DO AMAPARI,Pedra Branca do Amapari,AP,Amapá
665,1600055,SERRA DO NAVIO,Serra do Navio,AP,Amapá
667,1600212,CUTIAS,Cutias,AP,Amapá
669,1600253,ITAUBAL,Itaubal,AP,Amapá
671,1600535,PORTO GRANDE,Porto Grande,AP,Amapá
673,1600550,PRACUÚBA,Pracuúba,AP,Amapá
3005,2922250,Muquém de São Francisco,Muquém do São Francisco,BA,Bahia
3007,2922730,NOVA FÁTIMA,Nova Fátima,BA,Bahia
3009,2922755,NOVA IBIÁ,Nova Ibiá,BA,Bahia
3011,2922854,NOVA REDENÇÃO,Nova Redenção,BA,Bahia
3013,2923035,NOVO HORIZONTE,Novo Horizonte,BA,Bahia
3015,2923050,NOVO TRIUNFO,Novo Triunfo,BA,Bahia
3017,2923357,OUROLÂNDIA,Ourolândia,BA,Bahia
3019,2924678,PIRAÍ DO NORTE,Piraí do Norte,BA,Bahia
3021,2925253,PONTO NOVO,Ponto Novo,BA,Bahia
3023,2925758,PRESIDENTE TANCREDO NEVES,Presidente Tancredo Neves,BA,Bahia
3025,2925931,QUIXABEIRA,Quixabeira,BA,Bahia
3027,2926657,RIBEIRÃO DO LARGO,Ribeirão do Largo,BA,Bahia
3029,2928950,SÃO DOMINGOS,São Domingos,BA,Bahia
3031,2929057,SÃO FÉLIX DO CORIBE,São Félix do Coribe,BA,Bahia
3033,2929370,SÃO JOSÉ DO JACUÍPE,São José do Jacuípe,BA,Bahia
3035,2929354,SÃO JOSÉ DA VITÓRIA,São José da Vitória,BA,Bahia
3037,2929750,SAUBARA,Saubara,BA,Bahia
3039,2930154,SERRA DO RAMALHO,Serra do Ramalho,BA,Bahia
3041,2930758,SÍTIO DO MATO,Sítio do Mato,BA,Bahia
3043,2930766,SÍTIO DO QUINTO,Sítio do Quinto,BA,Bahia
3045,2930774,SOBRADINHO,Sobradinho,BA,Bahia
3047,2932457,UMBURANAS,Umburanas,BA,Bahia
3049,2933174,VARZEDO,Varzedo,BA,Bahia
3051,2933257,VEREDA,Vereda,BA,Bahia
3069,2918555,JUSSARI,Jussari,BA,Bahia
3071,2901155,AMÉRICA DOURADA,América Dourada,BA,Bahia
3073,2902252,ARATACA,Arataca,BA,Bahia
3075,2903235,BARRO ALTO,Barro Alto,BA,Bahia
3079,2904753,BURITIRAMA,Buritirama,BA,Bahia
3081,2906857,CAPELA DO ALTO ALEGRE,Capela do Alto Alegre,BA,Bahia
3083,2906873,CAPIM GROSSO,Capim Grosso,BA,Bahia
3085,2906824,CANUDOS,Canudos,BA,Bahia
3087,2910057,DIAS D'ÁVILA,Dias d'Ávila,BA,Bahia
3089,2910750,FÁTIMA,Fátima,BA,Bahia
3091,2910859,FILADÉLFIA,Filadélfia,BA,Bahia
3093,2911253,GAVIÃO,Gavião,BA,Bahia
3095,2911659,GUAJERU,Guajeru,BA,Bahia
3097,2911857,HELIÓPOLIS,Heliópolis,BA,Bahia
3099,2918357,JOÃO DOURADO,João Dourado,BA,Bahia
3117,2910727,EUNÁPOLIS,Eunápolis,BA,Bahia
3253,2900355,ADUSTINA,Adustina,BA,Bahia
3255,2901353,ANDORINHA,Andorinha,BA,Bahia
3257,2901957,APUAREMA,Apuarema,BA,Bahia
3259,2902054,ARAÇAS,Araçás,BA,Bahia
3261,2902658,BANZAÊ,Banzaê,BA,Bahia
3263,2903953,BOM JESUS DA SERRA,Bom Jesus da Serra,BA,Bahia
3265,2904050,BONITO,Bonito,BA,Bahia
3267,2904852,CABACEIRAS DO PARAGUAÇU,Cabaceiras do Paraguaçu,BA,Bahia
3269,2905156,CAETANOS,Caetanos,BA,Bahia
3271,2906899,CARAÍBAS,Caraíbas,BA,Bahia
3273,2907558,CATURAMA,Caturama,BA,Bahia
3275,2910776,FEIRA DA MATA,Feira da Mata,BA,Bahia
3277,2913457,IGRAPIÚNA,Igrapiúna,BA,Bahia
3279,2914653,ITABELA,Itabela,BA,Bahia
3281,2915353,ITAGUAÇU DA BAHIA,Itaguaçu da Bahia,BA,Bahia
3283,2916856,ITATIM,Itatim,BA,Bahia
3285,2917334,IUIÚ,Iuiu,BA,Bahia
3287,2918456,JUCURUÇU,Jucuruçu,BA,Bahia
3289,2918753,LAGOA REAL,Lagoa Real,BA,Bahia
3291,2919058,Lajedo do Tabocal,Lajedo do Tabocal,BA,Bahia
3293,2919926,MADRE DE DEUS,Madre de Deus,BA,Bahia
3295,2921054,MATINA,Matina,BA,Bahia
3297,2921450,MIRANTE,Mirante,BA,Bahia
3299,2922052,MULUNGU DO MORRO,Mulungu do Morro,BA,Bahia
3301,2900108,ABAÍRA,Abaíra,BA,Bahia
3303,2900207,ABARÉ,Abaré,BA,Bahia
3305,2900306,ACAJUTIBA,Acajutiba,BA,Bahia
3307,2900405,ÁGUA FRIA,Água Fria,BA,Bahia
3309,2900504,ÉRICO CARDOSO,Érico Cardoso,BA,Bahia
3311,2900603,AIQUARA,Aiquara,BA,Bahia
3313,2900702,ALAGOINHAS,Alagoinhas,BA,Bahia
3315,2900801,ALCOBAÇA,Alcobaça,BA,Bahia
3317,2900900,ALMADINA,Almadina,BA,Bahia
3319,2901007,AMARGOSA,Amargosa,BA,Bahia
3321,2901106,AMÉLIA RODRIGUES,Amélia Rodrigues,BA,Bahia
3323,2901205,ANAGÉ,Anagé,BA,Bahia
3325,2901304,ANDARAÍ,Andaraí,BA,Bahia
3327,2901403,ANGICAL,Angical,BA,Bahia
3329,2901502,ANGUERA,Anguera,BA,Bahia
3331,2901601,ANTAS,Antas,BA,Bahia
3333,2901700,ANTÔNIO CARDOSO,Antônio Cardoso,BA,Bahia
3335,2901809,ANTÔNIO GONÇALVES,Antônio Gonçalves,BA,Bahia
3337,2901908,APORÁ,Aporá,BA,Bahia
3339,2902005,ARACATU,Aracatu,BA,Bahia
3341,2902104,ARACI,Araci,BA,Bahia
3343,2902203,ARAMARI,Aramari,BA,Bahia
3345,2902302,ARATUÍPE,Aratuípe,BA,Bahia
3347,2902401,AURELINO LEAL,Aurelino Leal,BA,Bahia
3349,2902500,BAIANÓPOLIS,Baianópolis,BA,Bahia
3351,2902609,BAIXA GRANDE,Baixa Grande,BA,Bahia
3353,2902708,BARRA,Barra,BA,Bahia
3355,2902807,BARRA DA ESTIVA,Barra da Estiva,BA,Bahia
3357,2902906,BARRA DO CHOÇA,Barra do Choça,BA,Bahia
3359,2903003,BARRA DO MENDES,Barra do Mendes,BA,Bahia
3361,2903102,BARRA DO ROCHA,Barra do Rocha,BA,Bahia
3363,2903201,BARREIRAS,Barreiras,BA,Bahia
3365,2903300,BARRO PRETO,Barro Preto,BA,Bahia
3367,2903409,BELMONTE,Belmonte,BA,Bahia
3369,2903508,BELO CAMPO,Belo Campo,BA,Bahia
3371,2903607,BIRITINGA,Biritinga,BA,Bahia
3373,2903706,BOA NOVA,Boa Nova,BA,Bahia
3375,2903805,BOA VISTA DO TUPIM,Boa Vista do Tupim,BA,Bahia
3377,2903904,BOM JESUS DA LAPA,Bom Jesus da Lapa,BA,Bahia
3379,2904001,BONINAL,Boninal,BA,Bahia
3381,2904100,BOQUIRA,Boquira,BA,Bahia
3383,2904209,BOTUPORÃ,Botuporã,BA,Bahia
3385,2904308,BREJÕES,Brejões,BA,Bahia
3387,2904407,BREJOLÂNDIA,Brejolândia,BA,Bahia
3389,2904506,BROTAS DE MACAÚBAS,Brotas de Macaúbas,BA,Bahia
3391,2904605,BRUMADO,Brumado,BA,Bahia
3393,2904704,BUERAREMA,Buerarema,BA,Bahia
3395,2904803,CAATIBA,Caatiba,BA,Bahia
3397,2904902,CACHOEIRA,Cachoeira,BA,Bahia
3399,2905008,CACULÉ,Caculé,BA,Bahia
3401,2905107,CAÉM,Caém,BA,Bahia
3403,2905206,CAETITÉ,Caetité,BA,Bahia
3405,2905305,CAFARNAUM,Cafarnaum,BA,Bahia
3407,2905404,CAIRU,Cairu,BA,Bahia
3409,2905503,CALDEIRÃO GRANDE,Caldeirão Grande,BA,Bahia
3411,2905602,CAMACAN,Camacan,BA,Bahia
3413,2905701,CAMAÇARI,Camaçari,BA,Bahia
3415,2905800,CAMAMU,Camamu,BA,Bahia
3417,2905909,CAMPO ALEGRE DE LOURDES,Campo Alegre de Lourdes,BA,Bahia
3419,2906006,CAMPO FORMOSO,Campo Formoso,BA,Bahia
3421,2906105,CANÁPOLIS,Canápolis,BA,Bahia
3423,2906204,CANARANA,Canarana,BA,Bahia
3425,2906303,CANAVIEIRAS,Canavieiras,BA,Bahia
3427,2906402,CANDEAL,Candeal,BA,Bahia
3429,2906501,CANDEIAS,Candeias,BA,Bahia
3431,2906600,CANDIBA,Candiba,BA,Bahia
3433,2906709,CÂNDIDO SALES,Cândido Sales,BA,Bahia
3435,2906808,CANSANÇÃO,Cansanção,BA,Bahia
3437,2906907,CARAVELAS,Caravelas,BA,Bahia
3439,2907004,CARDEAL DA SILVA,Cardeal da Silva,BA,Bahia
3441,2907103,CARINHANHA,Carinhanha,BA,Bahia
3443,2907202,CASA NOVA,Casa Nova,BA,Bahia
3445,2907301,CASTRO ALVES,Castro Alves,BA,Bahia
3447,2907400,CATOLÂNDIA,Catolândia,BA,Bahia
3449,2907509,CATU,Catu,BA,Bahia
3451,2907608,CENTRAL,Central,BA,Bahia
3453,2907707,CHORROCHÓ,Chorrochó,BA,Bahia
3455,2907806,CÍCERO DANTAS,Cícero Dantas,BA,Bahia
3457,2907905,CIPÓ,Cipó,BA,Bahia
3459,2908002,COARACI,Coaraci,BA,Bahia
3461,2908101,COCOS,Cocos,BA,Bahia
3463,2908200,CONCEIÇÃO DA FEIRA,Conceição da Feira,BA,Bahia
3465,2908309,CONCEIÇÃO DO ALMEIDA,Conceição do Almeida,BA,Bahia
3467,2908408,CONCEIÇÃO DO COITÉ,Conceição do Coité,BA,Bahia
3469,2908507,CONCEIÇÃO DO JACUÍPE,Conceição do Jacuípe,BA,Bahia
3471,2908606,CONDE,Conde,BA,Bahia
3473,2908705,CONDEÚBA,Condeúba,BA,Bahia
3475,2908804,CONTENDAS DO SINCORÁ,Contendas do Sincorá,BA,Bahia
3477,2908903,CORAÇÃO DE MARIA,Coração de Maria,BA,Bahia
3479,2909000,CORDEIROS,Cordeiros,BA,Bahia
3481,2909109,CORIBE,Coribe,BA,Bahia
3483,2909208,CORONEL JOÃO SÁ,Coronel João Sá,BA,Bahia
3485,2909307,CORRENTINA,Correntina,BA,Bahia
3487,2909406,COTEGIPE,Cotegipe,BA,Bahia
3489,2909505,CRAVOLÂNDIA,Cravolândia,BA,Bahia
3491,2909604,CRISÓPOLIS,Crisópolis,BA,Bahia
3493,2909703,CRISTÓPOLIS,Cristópolis,BA,Bahia
3495,2909802,CRUZ DAS ALMAS,Cruz das Almas,BA,Bahia
3497,2909901,CURAÇÁ,Curaçá,BA,Bahia
3499,2910008,DÁRIO MEIRA,Dário Meira,BA,Bahia
3501,2910107,DOM BASÍLIO,Dom Basílio,BA,Bahia
3503,2910206,DOM MACEDO COSTA,Dom Macedo Costa,BA,Bahia
3505,2910305,ELÍSIO MEDRADO,Elísio Medrado,BA,Bahia
3507,2910404,ENCRUZILHADA,Encruzilhada,BA,Bahia
3509,2910503,ENTRE RIOS,Entre Rios,BA,Bahia
3511,2910602,ESPLANADA,Esplanada,BA,Bahia
3513,2910701,EUCLIDES DA CUNHA,Euclides da Cunha,BA,Bahia
3515,2910800,FEIRA DE SANTANA,Feira de Santana,BA,Bahia
3517,2910909,FIRMINO ALVES,Firmino Alves,BA,Bahia
3519,2911006,FLORESTA AZUL,Floresta Azul,BA,Bahia
3521,2911105,FORMOSA DO RIO PRETO,Formosa do Rio Preto,BA,Bahia
3523,2911204,GANDU,Gandu,BA,Bahia
3525,2911303,GENTIO DO OURO,Gentio do Ouro,BA,Bahia
3527,2911402,GLÓRIA,Glória,BA,Bahia
3529,2911501,GONGOGI,Gongogi,BA,Bahia
3531,2911600,GOVERNADOR MANGABEIRA,Governador Mangabeira,BA,Bahia
3533,2911709,GUANAMBI,Guanambi,BA,Bahia
3535,2911808,GUARATINGA,Guaratinga,BA,Bahia
3537,2911907,IAÇU,Iaçu,BA,Bahia
3539,2912004,IBIASSUCÊ,Ibiassucê,BA,Bahia
3541,2912103,IBICARAÍ,Ibicaraí,BA,Bahia
3543,2912202,IBICOARA,Ibicoara,BA,Bahia
3545,2912301,IBICUÍ,Ibicuí,BA,Bahia
3547,2912400,IBIPEBA,Ibipeba,BA,Bahia
3549,2928406,SANTA RITA DE CÁSSIA,Santa Rita de Cássia,BA,Bahia
3551,2912509,IBIPITANGA,Ibipitanga,BA,Bahia
3553,2912608,IBIQUERA,Ibiquera,BA,Bahia
3555,2912707,IBIRAPITANGA,Ibirapitanga,BA,Bahia
3557,2912806,IBIRAPUÃ,Ibirapuã,BA,Bahia
3559,2912905,IBIRATAIA,Ibirataia,BA,Bahia
3561,2913002,IBITIARA,Ibitiara,BA,Bahia
3563,2913101,IBITITÁ,Ibititá,BA,Bahia
3565,2913200,IBOTIRAMA,Ibotirama,BA,Bahia
3567,2913309,ICHU,Ichu,BA,Bahia
3569,2913408,IGAPORÃ,Igaporã,BA,Bahia
3571,2913507,IGUAÍ,Iguaí,BA,Bahia
3573,2913606,ILHÉUS,Ilhéus,BA,Bahia
3575,2913705,INHAMBUPE,Inhambupe,BA,Bahia
3577,2913804,IPECAETÁ,Ipecaetá,BA,Bahia
3579,2913903,IPIAÚ,Ipiaú,BA,Bahia
3581,2914000,IPIRÁ,Ipirá,BA,Bahia
3583,2914109,IPUPIARA,Ipupiara,BA,Bahia
3585,2914208,IRAJUBA,Irajuba,BA,Bahia
3587,2914307,IRAMAIA,Iramaia,BA,Bahia
3589,2914406,IRAQUARA,Iraquara,BA,Bahia
3591,2914505,IRARÁ,Irará,BA,Bahia
3593,2914604,IRECÊ,Irecê,BA,Bahia
3595,2914703,ITABERABA,Itaberaba,BA,Bahia
3597,2914802,ITABUNA,Itabuna,BA,Bahia
3599,2914901,ITACARÉ,Itacaré,BA,Bahia
3601,2915007,ITAETÉ,Itaeté,BA,Bahia
3603,2915106,ITAGI,Itagi,BA,Bahia
3605,2915205,ITAGIBÁ,Itagibá,BA,Bahia
3607,2915304,ITAGIMIRIM,Itagimirim,BA,Bahia
3609,2915403,ITAJU DO COLÔNIA,Itaju do Colônia,BA,Bahia
3611,2915502,ITAJUÍPE,Itajuípe,BA,Bahia
3613,2915601,ITAMARAJU,Itamaraju,BA,Bahia
3615,2915700,ITAMARI,Itamari,BA,Bahia
3617,2915809,ITAMBÉ,Itambé,BA,Bahia
